Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 14/12/2025
TIME       : 20:43:56
FILENAME   : C:\Users\rchiu18\AppData\Roaming\DiverOffice\WillapaRiver_2025\CSV\WR05_251214204354_FS066.CSV
CREATED BY : Diver-Office 13.0.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-FS066  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =WR05
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =13.12336  ft
  Range                   =57.41470  ft
  Master level            =400       CMH2O
  Altitude                =0         ft
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-FS066  219.
  Instrument number       =          UTC+0     
  Location                =WR05
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:14 06/11/25
  End date / time         =00:40:04 15/12/25
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =13.12336  ft
  Range                   =57.41470  ft
  Master level            =400       CMH2O
  Altitude                =0         ft
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[ftH2O],Temperature[°C]
2025/11/06 14:00:00,33.85007,13.127
2025/11/06 14:05:00,33.85007,12.783
2025/11/06 14:10:00,33.85007,12.500
2025/11/06 14:15:00,33.85007,12.283
2025/11/06 14:20:00,33.85007,12.110
2025/11/06 14:25:00,33.85007,11.963
2025/11/06 14:30:00,33.85007,11.843
2025/11/06 14:35:00,33.85007,11.750
2025/11/06 14:40:00,33.85007,11.680
2025/11/06 14:45:00,33.84624,11.627
2025/11/06 14:50:00,33.85963,11.470
2025/11/06 14:55:00,33.84050,11.343
2025/11/06 15:00:00,33.84624,11.260
2025/11/06 15:05:00,33.85007,11.203
2025/11/06 15:10:00,33.85389,11.180
2025/11/06 15:15:00,33.85963,11.173
2025/11/06 15:20:00,33.85963,11.190
2025/11/06 15:25:00,33.84624,11.220
2025/11/06 15:30:00,33.85007,11.157
2025/11/06 15:35:00,33.84624,11.163
2025/11/06 15:40:00,33.83284,11.180
2025/11/06 15:45:00,33.84050,11.190
2025/11/06 15:50:00,33.84050,11.273
2025/11/06 15:55:00,33.84624,11.267
2025/11/06 16:00:00,33.83667,11.290
2025/11/06 16:05:00,33.85007,11.290
2025/11/06 16:10:00,33.85389,11.307
2025/11/06 16:15:00,33.84624,11.367
2025/11/06 16:20:00,33.84624,11.407
2025/11/06 16:25:00,33.85389,11.390
2025/11/06 16:30:00,40.14080,10.697
2025/11/06 16:35:00,40.34558,10.657
2025/11/06 16:40:00,40.54271,10.657
2025/11/06 16:45:00,40.74366,10.657
2025/11/06 16:50:00,40.95418,10.663
2025/11/06 16:55:00,41.15322,10.657
2025/11/06 17:00:00,41.33311,10.657
2025/11/06 17:05:00,41.53407,10.657
2025/11/06 17:10:00,41.71205,10.657
2025/11/06 17:15:00,41.88621,10.657
2025/11/06 17:20:00,42.07759,10.663
2025/11/06 17:25:00,42.25941,10.657
2025/11/06 17:30:00,42.45270,10.657
2025/11/06 17:35:00,42.63069,10.657
2025/11/06 17:40:00,42.83164,10.663
2025/11/06 17:45:00,43.01345,10.673
2025/11/06 17:50:00,43.20101,10.663
2025/11/06 17:55:00,43.39239,10.663
2025/11/06 18:00:00,43.57612,10.673
2025/11/06 18:05:00,43.77707,10.663
2025/11/06 18:10:00,43.97610,10.657
2025/11/06 18:15:00,44.16940,10.680
2025/11/06 18:20:00,44.35696,10.663
2025/11/06 18:25:00,44.56556,10.663
2025/11/06 18:30:00,44.73015,10.673
2025/11/06 18:35:00,44.90431,10.673
2025/11/06 18:40:00,45.06124,10.680
2025/11/06 18:45:00,45.20287,10.690
2025/11/06 18:50:00,45.32344,10.690
2025/11/06 18:55:00,45.45358,10.680
2025/11/06 19:00:00,45.54735,10.703
2025/11/06 19:05:00,45.65836,10.690
2025/11/06 19:10:00,45.76553,10.680
2025/11/06 19:15:00,45.88036,10.690
2025/11/06 19:20:00,45.97414,10.680
2025/11/06 19:25:00,46.08131,10.690
2025/11/06 19:30:00,46.19423,10.697
2025/11/06 19:35:00,46.30523,10.697
2025/11/06 19:40:00,46.40666,10.690
2025/11/06 19:45:00,46.53680,10.690
2025/11/06 19:50:00,46.65737,10.690
2025/11/06 19:55:00,46.77794,10.690
2025/11/06 20:00:00,46.88894,10.697
2025/11/06 20:05:00,47.02291,10.697
2025/11/06 20:10:00,47.14348,10.697
2025/11/06 20:15:00,47.25066,10.703
2025/11/06 20:20:00,47.37505,10.713
2025/11/06 20:25:00,47.47840,10.720
2025/11/06 20:30:00,47.57983,10.720
2025/11/06 20:35:00,47.69658,10.720
2025/11/06 20:40:00,47.81523,10.720
2025/11/06 20:45:00,47.91475,10.690
2025/11/06 20:50:00,48.00470,10.673
2025/11/06 20:55:00,48.09657,10.663
2025/11/06 21:00:00,48.18652,10.640
2025/11/06 21:05:00,48.26498,10.603
2025/11/06 21:10:00,48.40852,10.570
2025/11/06 21:15:00,48.50230,10.557
2025/11/06 21:20:00,48.56354,10.517
2025/11/06 21:25:00,48.63435,10.500
2025/11/06 21:30:00,48.70708,10.463
2025/11/06 21:35:00,48.76832,10.470
2025/11/06 21:40:00,48.82573,10.493
2025/11/06 21:45:00,48.83913,10.477
2025/11/06 21:50:00,48.88506,10.523
2025/11/06 21:55:00,48.91951,10.587
2025/11/06 22:00:00,48.92908,10.593
2025/11/06 22:05:00,48.94630,10.580
2025/11/06 22:10:00,48.92908,10.617
2025/11/06 22:15:00,48.89654,10.633
2025/11/06 22:20:00,48.83722,10.633
2025/11/06 22:25:00,48.77980,10.633
2025/11/06 22:30:00,48.68985,10.627
2025/11/06 22:35:00,48.59990,10.593
2025/11/06 22:40:00,48.50612,10.570
2025/11/06 22:45:00,48.43531,10.540
2025/11/06 22:50:00,48.35876,10.557
2025/11/06 22:55:00,48.28795,10.617
2025/11/06 23:00:00,48.20948,10.690
2025/11/06 23:05:00,48.15015,10.727
2025/11/06 23:10:00,48.06594,10.737
2025/11/06 23:15:00,47.96643,10.750
2025/11/06 23:20:00,47.87839,10.760
2025/11/06 23:25:00,47.77122,10.750
2025/11/06 23:30:00,47.66021,10.767
2025/11/06 23:35:00,47.57983,10.760
2025/11/06 23:40:00,47.48223,10.767
2025/11/06 23:45:00,47.35209,10.767
2025/11/06 23:50:00,47.25448,10.783
2025/11/06 23:55:00,47.14348,10.783
2025/11/07 00:00:00,47.02674,10.783
2025/11/07 00:05:00,46.91574,10.783
2025/11/07 00:10:00,46.77220,10.773
2025/11/07 00:15:00,46.64780,10.773
2025/11/07 00:20:00,46.50044,10.783
2025/11/07 00:25:00,46.37221,10.773
2025/11/07 00:30:00,46.21145,10.767
2025/11/07 00:35:00,46.03729,10.773
