Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 08/03/2026
TIME       : 20:13:20
FILENAME   : C:\Users\chege\Desktop\New folder\CSV\WR03_260308201320_FS029.CSV
CREATED BY : Diver-Office 13.0.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-FS029  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =WR03
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-FS029  219.
  Instrument number       =          UTC+0     
  Location                =WR03
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:14 06/11/25
  End date / time         =00:55:19 08/03/26
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2025/11/06 14:00:00,1032.450,13.257
2025/11/06 14:05:00,1032.158,12.867
2025/11/06 14:10:00,1032.275,12.577
2025/11/06 14:15:00,1032.158,12.367
2025/11/06 14:20:00,1032.450,12.250
2025/11/06 14:25:00,1031.983,12.133
2025/11/06 14:30:00,1032.158,12.030
2025/11/06 14:35:00,1032.275,11.960
2025/11/06 14:40:00,1031.867,11.890
2025/11/06 14:45:00,1032.567,11.837
2025/11/06 14:50:00,1032.567,11.640
2025/11/06 14:55:00,1031.983,11.460
2025/11/06 15:00:00,1032.158,11.373
2025/11/06 15:05:00,1032.158,11.233
2025/11/06 15:10:00,1032.158,11.157
2025/11/06 15:15:00,1032.567,11.163
2025/11/06 15:20:00,1032.567,11.203
2025/11/06 15:25:00,1032.275,11.290
2025/11/06 15:30:00,1031.867,11.210
2025/11/06 15:35:00,1032.275,11.180
2025/11/06 15:40:00,1032.158,11.210
2025/11/06 15:45:00,1031.983,11.180
2025/11/06 15:50:00,1031.867,11.227
2025/11/06 15:55:00,1031.867,11.257
2025/11/06 16:00:00,1224.483,10.657
2025/11/06 16:05:00,1228.975,10.633
2025/11/06 16:10:00,1233.875,10.633
2025/11/06 16:15:00,1238.367,10.623
2025/11/06 16:20:00,1243.558,10.617
2025/11/06 16:25:00,1249.217,10.610
2025/11/06 16:30:00,1254.992,10.610
2025/11/06 16:35:00,1260.767,10.617
2025/11/06 16:40:00,1266.833,10.600
2025/11/06 16:45:00,1273.192,10.610
2025/11/06 16:50:00,1279.142,10.587
2025/11/06 16:55:00,1284.508,10.587
2025/11/06 17:00:00,1289.700,10.570
2025/11/06 17:05:00,1296.058,10.577
2025/11/06 17:10:00,1301.717,10.563
2025/11/06 17:15:00,1307.667,10.547
2025/11/06 17:20:00,1313.442,10.540
2025/11/06 17:25:00,1319.217,10.523
2025/11/06 17:30:00,1325.283,10.523
2025/11/06 17:35:00,1331.350,10.500
2025/11/06 17:40:00,1337.242,10.493
2025/11/06 17:45:00,1342.900,10.493
2025/11/06 17:50:00,1349.083,10.477
2025/11/06 17:55:00,1355.150,10.477
2025/11/06 18:00:00,1360.633,10.470
2025/11/06 18:05:00,1366.525,10.460
2025/11/06 18:10:00,1372.300,10.453
2025/11/06 18:15:00,1378.950,10.447
2025/11/06 18:20:00,1384.025,10.423
2025/11/06 18:25:00,1389.333,10.413
2025/11/06 18:30:00,1394.117,10.413
2025/11/06 18:35:00,1398.725,10.400
2025/11/06 18:40:00,1403.333,10.407
2025/11/06 18:45:00,1407.475,10.373
2025/11/06 18:50:00,1411.092,10.367
2025/11/06 18:55:00,1414.417,10.367
2025/11/06 19:00:00,1417.392,10.383
2025/11/06 19:05:00,1422.000,10.360
2025/11/06 19:10:00,1425.792,10.367
2025/11/06 19:15:00,1429.525,10.367
2025/11/06 19:20:00,1433.142,10.383
2025/11/06 19:25:00,1436.817,10.400
2025/11/06 19:30:00,1440.608,10.430
2025/11/06 19:35:00,1444.808,10.453
2025/11/06 19:40:00,1448.542,10.477
2025/11/06 19:45:00,1451.867,10.500
2025/11/06 19:50:00,1456.592,10.547
2025/11/06 19:55:00,1460.092,10.587
2025/11/06 20:00:00,1464.000,10.623
2025/11/06 20:05:00,1467.675,10.663
2025/11/06 20:10:00,1472.458,10.697
2025/11/06 20:15:00,1475.200,10.743
2025/11/06 20:20:00,1479.050,10.790
2025/11/06 20:25:00,1482.375,10.820
2025/11/06 20:30:00,1485.350,10.867
2025/11/06 20:35:00,1490.075,10.890
2025/11/06 20:40:00,1493.167,10.923
2025/11/06 20:45:00,1495.908,10.960
2025/11/06 20:50:00,1499.350,10.960
2025/11/06 20:55:00,1501.800,10.993
2025/11/06 21:00:00,1503.667,11.017
2025/11/06 21:05:00,1506.408,11.017
2025/11/06 21:10:00,1509.150,11.040
2025/11/06 21:15:00,1511.483,11.063
2025/11/06 21:20:00,1512.650,11.070
2025/11/06 21:25:00,1514.925,11.087
2025/11/06 21:30:00,1516.383,11.093
2025/11/06 21:35:00,1517.492,11.117
2025/11/06 21:40:00,1518.367,11.117
2025/11/06 21:45:00,1518.542,11.133
2025/11/06 21:50:00,1518.542,11.150
2025/11/06 21:55:00,1518.250,11.157
2025/11/06 22:00:00,1516.500,11.163
2025/11/06 22:05:00,1515.508,11.163
2025/11/06 22:10:00,1514.050,11.150
2025/11/06 22:15:00,1512.008,11.157
2025/11/06 22:20:00,1510.900,11.140
2025/11/06 22:25:00,1508.858,11.123
2025/11/06 22:30:00,1506.408,11.123
2025/11/06 22:35:00,1504.250,11.087
2025/11/06 22:40:00,1501.392,11.077
2025/11/06 22:45:00,1500.225,11.047
2025/11/06 22:50:00,1497.308,11.023
2025/11/06 22:55:00,1493.983,10.993
2025/11/06 23:00:00,1490.133,10.947
2025/11/06 23:05:00,1487.508,10.900
2025/11/06 23:10:00,1485.642,10.873
2025/11/06 23:15:00,1482.725,10.873
2025/11/06 23:20:00,1478.525,10.860
2025/11/06 23:25:00,1475.200,10.827
2025/11/06 23:30:00,1471.408,10.797
2025/11/06 23:35:00,1467.442,10.767
2025/11/06 23:40:00,1464.000,10.743
2025/11/06 23:45:00,1460.967,10.727
2025/11/06 23:50:00,1457.175,10.710
2025/11/06 23:55:00,1452.275,10.710
2025/11/07 00:00:00,1449.533,10.720
2025/11/07 00:05:00,1443.175,10.710
2025/11/07 00:10:00,1440.025,10.727
2025/11/07 00:15:00,1433.258,10.733
2025/11/07 00:20:00,1427.775,10.733
2025/11/07 00:25:00,1423.633,10.733
2025/11/07 00:30:00,1416.867,10.733
2025/11/07 00:35:00,1411.500,10.727
2025/11/07 00:40:00,1406.775,10.743
2025/11/07 00:45:00,1401.117,10.750
2025/11/07 00:50:00,1394.525,10.743
2025/11/07 00:55:00,1388.167,10.743
2025/11/07 01:00:00,1382.683,10.733
2025/11/07 01:05:00,1375.800,10.727
2025/11/07 01:10:00,1370.317,10.720
2025/11/07 01:15:00,1362.967,10.727
2025/11/07 01:20:00,1356.433,10.733
2025/11/07 01:25:00,1347.333,10.743
2025/11/07 01:30:00,1342.025,10.720
2025/11/07 01:35:00,1334.092,10.733
2025/11/07 01:40:00,1326.275,10.743
2025/11/07 01:45:00,1317.933,10.750
2025/11/07 01:50:00,1310.233,10.727
2025/11/07 01:55:00,1301.717,10.743
2025/11/07 02:00:00,1295.125,10.743
2025/11/07 02:05:00,1287.892,10.743
2025/11/07 02:10:00,1278.442,10.733
2025/11/07 02:15:00,1272.142,10.743
2025/11/07 02:20:00,1264.675,10.743
2025/11/07 02:25:00,1255.108,10.750
2025/11/07 02:30:00,1248.633,10.743
2025/11/07 02:35:00,1240.817,10.757
2025/11/07 02:40:00,1232.767,10.767
2025/11/07 02:45:00,1224.658,10.767
2025/11/07 02:50:00,1214.392,10.750
2025/11/07 02:55:00,1208.442,10.773
2025/11/07 03:00:00,1198.583,10.773
2025/11/07 03:05:00,1190.067,10.780
2025/11/07 03:10:00,1182.133,10.797
2025/11/07 03:15:00,1174.317,10.803
2025/11/07 03:20:00,1165.917,10.803
2025/11/07 03:25:00,1158.158,10.803
2025/11/07 03:30:00,1149.058,10.803
2025/11/07 03:35:00,1141.417,10.813
2025/11/07 03:40:00,1134.300,10.820
2025/11/07 03:45:00,1127.417,10.813
2025/11/07 03:50:00,1120.008,10.820
2025/11/07 03:55:00,1113.242,10.827
2025/11/07 04:00:00,1108.225,10.843
2025/11/07 04:05:00,1103.325,10.837
2025/11/07 04:10:00,1097.783,10.827
2025/11/07 04:15:00,1093.758,10.837
2025/11/07 04:20:00,1090.258,10.850
2025/11/07 04:25:00,1086.525,10.850
2025/11/07 04:30:00,1083.492,10.843
2025/11/07 04:35:00,1082.033,10.850
2025/11/07 04:40:00,1079.583,10.850
2025/11/07 04:45:00,1078.883,10.860
2025/11/07 04:50:00,1080.283,10.850
2025/11/07 04:55:00,1083.608,10.860
2025/11/07 05:00:00,1089.850,10.860
2025/11/07 05:05:00,1098.075,10.860
2025/11/07 05:10:00,1109.392,10.860
2025/11/07 05:15:00,1119.658,10.850
2025/11/07 05:20:00,1128.175,10.860
2025/11/07 05:25:00,1136.575,10.860
2025/11/07 05:30:00,1145.967,10.860
2025/11/07 05:35:00,1154.950,10.843
2025/11/07 05:40:00,1163.758,10.843
2025/11/07 05:45:00,1171.283,10.850
2025/11/07 05:50:00,1178.342,10.867
2025/11/07 05:55:00,1184.700,10.860
2025/11/07 06:00:00,1191.467,10.860
2025/11/07 06:05:00,1197.242,10.860
2025/11/07 06:10:00,1203.483,10.850
2025/11/07 06:15:00,1208.675,10.843
2025/11/07 06:20:00,1213.692,10.850
2025/11/07 06:25:00,1218.883,10.850
2025/11/07 06:30:00,1224.367,10.837
2025/11/07 06:35:00,1229.150,10.843
2025/11/07 06:40:00,1234.342,10.837
2025/11/07 06:45:00,1239.125,10.843
2025/11/07 06:50:00,1244.900,10.843
2025/11/07 06:55:00,1249.800,10.837
2025/11/07 07:00:00,1254.583,10.837
2025/11/07 07:05:00,1259.775,10.837
2025/11/07 07:10:00,1264.850,10.843
2025/11/07 07:15:00,1270.217,10.837
2025/11/07 07:20:00,1275.117,10.837
2025/11/07 07:25:00,1280.308,10.837
2025/11/07 07:30:00,1285.267,10.843
2025/11/07 07:35:00,1290.458,10.837
2025/11/07 07:40:00,1296.525,10.837
2025/11/07 07:45:00,1302.592,10.843
2025/11/07 07:50:00,1309.125,10.843
2025/11/07 07:55:00,1315.483,10.843
2025/11/07 08:00:00,1321.492,10.837
2025/11/07 08:05:00,1328.317,10.827
2025/11/07 08:10:00,1334.675,10.820
2025/11/07 08:15:00,1340.858,10.827
2025/11/07 08:20:00,1347.625,10.813
2025/11/07 08:25:00,1354.158,10.803
2025/11/07 08:30:00,1360.458,10.780
2025/11/07 08:35:00,1366.233,10.773
2025/11/07 08:40:00,1372.183,10.767
2025/11/07 08:45:00,1377.783,10.757
2025/11/07 08:50:00,1383.850,10.743
2025/11/07 08:55:00,1388.633,10.733
2025/11/07 09:00:00,1393.533,10.733
2025/11/07 09:05:00,1399.133,10.720
2025/11/07 09:10:00,1404.150,10.720
2025/11/07 09:15:00,1408.350,10.720
2025/11/07 09:20:00,1412.375,10.710
2025/11/07 09:25:00,1415.408,10.727
2025/11/07 09:30:00,1418.442,10.720
2025/11/07 09:35:00,1420.717,10.710
2025/11/07 09:40:00,1423.633,10.710
2025/11/07 09:45:00,1426.200,10.720
2025/11/07 09:50:00,1428.825,10.710
2025/11/07 09:55:00,1431.100,10.710
2025/11/07 10:00:00,1432.092,10.710
2025/11/07 10:05:00,1434.250,10.720
2025/11/07 10:10:00,1435.708,10.703
2025/11/07 10:15:00,1437.167,10.710
2025/11/07 10:20:00,1438.858,10.710
2025/11/07 10:25:00,1439.733,10.710
2025/11/07 10:30:00,1440.317,10.710
2025/11/07 10:35:00,1440.725,10.710
2025/11/07 10:40:00,1441.483,10.703
2025/11/07 10:45:00,1441.483,10.710
2025/11/07 10:50:00,1441.308,10.710
2025/11/07 10:55:00,1441.017,10.720
2025/11/07 11:00:00,1439.908,10.720
2025/11/07 11:05:00,1439.325,10.727
2025/11/07 11:10:00,1438.567,10.743
2025/11/07 11:15:00,1437.458,10.743
2025/11/07 11:20:00,1435.300,10.757
2025/11/07 11:25:00,1434.133,10.757
2025/11/07 11:30:00,1432.092,10.773
2025/11/07 11:35:00,1429.933,10.743
2025/11/07 11:40:00,1427.483,10.743
2025/11/07 11:45:00,1425.033,10.743
2025/11/07 11:50:00,1422.875,10.743
2025/11/07 11:55:00,1420.600,10.733
2025/11/07 12:00:00,1417.392,10.727
2025/11/07 12:05:00,1415.117,10.710
2025/11/07 12:10:00,1412.083,10.710
2025/11/07 12:15:00,1409.342,10.703
2025/11/07 12:20:00,1406.308,10.697
2025/11/07 12:25:00,1402.458,10.680
2025/11/07 12:30:00,1399.600,10.680
