Report Date:,1/11/2026 8:52:51 PM
Report User Name:,rchiu18
Report Computer Name:,NK-DELLPRECISIO
Application:,WinSitu.exe
Application Version:,5.7.8.0


Log File Properties
File Name,InSitu632743brackish_2026-01-11_13-47-47-563.wsl
Create Date,1/11/2026 1:47:44 PM

Device Properties
Device,Rugged TROLL 100
Site,Default Site
Device Name, 
Serial Number,632743
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,53

Log Configuration
,Log Name,InSitu632743brackish
,Created By,rchiu18
,Computer Name,NK-DELLPRECISIO
,Application,WinSitu.exe
,Application Version,5.7.8.0
,Create Date,12/13/2025 1:52:44 PM Pacific Standard Time
,Log Setup Time Zone,Pacific Standard Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,12/14/2025 9:00:00 AM Pacific Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 05 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,1.012


Other Log Settings
,Depth of Probe:,33.5124 (ft)
,Head Pressure:,14.7029 (PSI)
,Temperature:,75.0981 (F)



Log Notes:
Date and Time,Note
12/14/2025 4:54:17 AM ,Used Battery: 53% Used Memory: 3%   User Name: rchiu18
1/12/2026 4:45:13 AM  ,Log Download - Used Battery: 54% Used Memory: 9%   User Name: rchiu18
1/12/2026 4:46:43 AM  ,Log Download - Used Battery: 54% Used Memory: 9%   User Name: rchiu18


Log Data:
Record Count,8302

Sensors,1

 ,1,632743,Pressure/Temp PSIA (9m/30ft)

Time Zone: Pacific Standard Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 632743                             ,SN#: 632743                             ,SN#: 632743                             ,
Date and Time,Seconds     ,Temperature (F)                         ,Pressure (PSI)                          ,Depth (ft)                              ,
12/14/2025 9:00:00 AM ,       0.000,                                  73.871,                                  14.676,                                  33.451,
12/14/2025 9:05:00 AM ,     300.001,                                  73.958,                                  14.675,                                  33.448,
12/14/2025 9:10:00 AM ,     600.001,                                  73.871,                                  14.673,                                  33.445,
12/14/2025 9:15:00 AM ,     900.001,                                  73.958,                                  14.675,                                  33.448,
12/14/2025 9:20:00 AM ,    1200.001,                                  73.783,                                  14.673,                                  33.444,
12/14/2025 9:25:00 AM ,    1500.001,                                  73.958,                                  14.676,                                  33.451,
12/14/2025 9:30:00 AM ,    1800.001,                                  73.607,                                  14.671,                                  33.440,
12/14/2025 9:35:00 AM ,    2100.001,                                  73.783,                                  14.668,                                  33.433,
12/14/2025 9:40:00 AM ,    2400.001,                                  73.695,                                  14.671,                                  33.441,
12/14/2025 9:45:00 AM ,    2700.001,                                  73.695,                                  14.675,                                  33.448,
12/14/2025 9:50:00 AM ,    3000.001,                                  73.695,                                  14.671,                                  33.441,
12/14/2025 9:55:00 AM ,    3300.001,                                  73.695,                                  14.667,                                  33.430,
12/14/2025 10:00:00 AM,    3600.001,                                  73.607,                                  14.666,                                  33.429,
12/14/2025 10:05:00 AM,    3900.001,                                  73.695,                                  14.663,                                  33.422,
12/14/2025 10:10:00 AM,    4200.001,                                  73.695,                                  14.664,                                  33.424,
12/14/2025 10:15:00 AM,    4500.001,                                  73.783,                                  14.666,                                  33.429,
12/14/2025 10:20:00 AM,    4800.001,                                  73.519,                                  14.672,                                  33.441,
12/14/2025 10:25:00 AM,    5100.001,                                  73.607,                                  14.663,                                  33.421,
12/14/2025 10:30:00 AM,    5400.001,                                  73.695,                                  14.664,                                  33.424,
12/14/2025 10:35:00 AM,    5700.001,                                  73.519,                                  14.666,                                  33.427,
12/14/2025 10:40:00 AM,    6000.001,                                  73.519,                                  14.661,                                  33.418,
12/14/2025 10:45:00 AM,    6300.001,                                  73.607,                                  14.663,                                  33.421,
12/14/2025 10:50:00 AM,    6600.001,                                  73.607,                                  14.660,                                  33.414,
12/14/2025 10:55:00 AM,    6900.001,                                  73.607,                                  14.660,                                  33.415,
12/14/2025 11:00:00 AM,    7200.001,                                  73.519,                                  14.664,                                  33.424,
12/14/2025 11:05:00 AM,    7500.001,                                  73.519,                                  14.664,                                  33.424,
12/14/2025 11:10:00 AM,    7800.001,                                  73.255,                                  14.663,                                  33.421,
12/14/2025 11:15:00 AM,    8100.001,                                  73.519,                                  14.664,                                  33.424,
12/14/2025 11:20:00 AM,    8400.001,                                  73.519,                                  14.658,                                  33.410,
12/14/2025 11:25:00 AM,    8700.001,                                  73.255,                                  14.661,                                  33.416,
12/14/2025 11:30:00 AM,    9000.001,                                  73.343,                                  14.660,                                  33.414,
12/14/2025 11:35:00 AM,    9300.001,                                  73.431,                                  14.657,                                  33.408,
12/14/2025 11:40:00 AM,    9600.001,                                  73.343,                                  14.657,                                  33.408,
12/14/2025 11:45:00 AM,    9900.001,                                  73.255,                                  14.660,                                  33.415,
12/14/2025 11:50:00 AM,   10200.001,                                  73.255,                                  14.655,                                  33.404,
12/14/2025 11:55:00 AM,   10500.001,                                  73.431,                                  14.658,                                  33.410,
12/14/2025 12:00:00 PM,   10800.001,                                  73.431,                                  14.661,                                  33.417,
12/14/2025 12:05:00 PM,   11100.001,                                  73.255,                                  14.663,                                  33.421,
12/14/2025 12:10:00 PM,   11400.001,                                  73.343,                                  14.662,                                  33.420,
12/14/2025 12:15:00 PM,   11700.001,                                  73.343,                                  14.658,                                  33.411,
12/14/2025 12:20:00 PM,   12000.001,                                  73.431,                                  14.659,                                  33.413,
12/14/2025 12:25:00 PM,   12300.001,                                  73.255,                                  14.656,                                  33.405,
12/14/2025 12:30:00 PM,   12600.001,                                  73.519,                                  14.662,                                  33.419,
12/14/2025 12:35:00 PM,   12900.001,                                  73.519,                                  14.662,                                  33.419,
12/14/2025 12:40:00 PM,   13200.001,                                  73.431,                                  14.661,                                  33.417,
12/14/2025 12:45:00 PM,   13500.001,                                  73.343,                                  14.664,                                  33.423,
12/14/2025 12:50:00 PM,   13800.001,                                  73.255,                                  14.666,                                  33.427,
12/14/2025 12:55:00 PM,   14100.001,                                  73.343,                                  14.662,                                  33.418,
12/14/2025 1:00:00 PM ,   14400.001,                                  73.255,                                  14.664,                                  33.424,
12/14/2025 1:05:00 PM ,   14700.001,                                  73.255,                                  14.663,                                  33.421,
12/14/2025 1:10:00 PM ,   15000.001,                                  73.255,                                  14.663,                                  33.423,
12/14/2025 1:15:00 PM ,   15300.001,                                  73.255,                                  14.669,                                  33.435,
12/14/2025 1:20:00 PM ,   15600.001,                                  73.431,                                  14.667,                                  33.431,
12/14/2025 1:25:00 PM ,   15900.001,                                  73.343,                                  14.666,                                  33.428,
12/14/2025 1:30:00 PM ,   16200.001,                                  73.431,                                  14.667,                                  33.430,
12/14/2025 1:35:00 PM ,   16500.001,                                  73.343,                                  14.676,                                  33.451,
12/14/2025 1:40:00 PM ,   16800.001,                                  73.431,                                  14.677,                                  33.453,
12/14/2025 1:45:00 PM ,   17100.001,                                  73.431,                                  14.679,                                  33.458,
12/14/2025 1:50:00 PM ,   17400.001,                                  73.431,                                  14.678,                                  33.456,
12/14/2025 1:55:00 PM ,   17700.001,                                  73.343,                                  14.671,                                  33.440,
12/14/2025 2:00:00 PM ,   18000.001,                                  73.343,                                  14.671,                                  33.440,
12/14/2025 2:05:00 PM ,   18300.001,                                  73.343,                                  14.679,                                  33.457,
12/14/2025 2:10:00 PM ,   18600.001,                                  73.343,                                  14.681,                                  33.464,
12/14/2025 2:15:00 PM ,   18900.001,                                  73.255,                                  14.679,                                  33.458,
12/14/2025 2:20:00 PM ,   19200.001,                                  73.255,                                  14.676,                                  33.452,
12/14/2025 2:25:00 PM ,   19500.001,                                  73.255,                                  14.674,                                  33.448,
12/14/2025 2:30:00 PM ,   19800.001,                                  73.343,                                  14.671,                                  33.440,
12/14/2025 2:35:00 PM ,   20100.001,                                  73.343,                                  14.672,                                  33.442,
12/14/2025 2:40:00 PM ,   20400.001,                                  73.167,                                  14.668,                                  33.433,
12/14/2025 2:45:00 PM ,   20700.001,                                  73.167,                                  14.666,                                  33.428,
12/14/2025 2:50:00 PM ,   21000.001,                                  73.255,                                  14.666,                                  33.429,
12/14/2025 2:55:00 PM ,   21300.001,                                  73.343,                                  14.671,                                  33.440,
12/14/2025 3:00:00 PM ,   21600.001,                                  73.167,                                  14.671,                                  33.439,
12/14/2025 3:05:00 PM ,   21900.001,                                  73.255,                                  14.672,                                  33.443,
12/14/2025 3:10:00 PM ,   22200.001,                                  73.343,                                  14.676,                                  33.451,
12/14/2025 3:15:00 PM ,   22500.001,                                  73.167,                                  14.672,                                  33.442,
12/14/2025 3:20:00 PM ,   22800.001,                                  73.255,                                  14.670,                                  33.438,
12/14/2025 3:25:00 PM ,   23100.001,                                  73.167,                                  14.662,                                  33.419,
12/14/2025 3:30:00 PM ,   23400.001,                                  73.167,                                  14.664,                                  33.424,
12/14/2025 3:35:00 PM ,   23700.001,                                  73.343,                                  14.667,                                  33.431,
12/14/2025 3:40:00 PM ,   24000.001,                                  73.255,                                  14.670,                                  33.438,
12/14/2025 3:45:00 PM ,   24300.001,                                  73.255,                                  14.663,                                  33.423,
12/14/2025 3:50:00 PM ,   24600.001,                                  73.255,                                  14.669,                                  33.435,
12/14/2025 3:55:00 PM ,   24900.001,                                  73.255,                                  14.667,                                  33.430,
12/14/2025 4:00:00 PM ,   25200.001,                                  73.255,                                  14.667,                                  33.430,
12/14/2025 4:05:00 PM ,   25500.001,                                  73.255,                                  14.668,                                  33.434,
12/14/2025 4:10:00 PM ,   25800.001,                                  73.255,                                  14.670,                                  33.437,
12/14/2025 4:15:00 PM ,   26100.001,                                  73.343,                                  14.668,                                  33.434,
12/14/2025 4:20:00 PM ,   26400.001,                                  73.255,                                  14.668,                                  33.432,
12/14/2025 4:25:00 PM ,   26700.001,                                  73.431,                                  14.669,                                  33.436,
12/14/2025 4:30:00 PM ,   27000.001,                                  73.255,                                  14.674,                                  33.446,
12/14/2025 4:35:00 PM ,   27300.001,                                  73.255,                                  14.677,                                  33.454,
12/14/2025 4:40:00 PM ,   27600.001,                                  73.255,                                  14.676,                                  33.451,
